year;country;region;gini;inflation;unemployment;gdp;gdpgrowth;gdppercap;imports;exports;netexp;netexppergdp;fdi;fdipergdp;incometax;tradetax;population;education
2020;Cote d'Ivoire;Africa;39,35;2,425006568;2,66;62982768372;1,737620429;2349,069882;14906153460;13631340135;-1274813326;-2,024066834;-711587318;-1,129812703;24,28036959;22,800363;26811790;9,906831683
2020;Croatia;Africa;30,08;0,154811375;7,51;57624938982;-8,580343021;14236,53525;29845881194;27333726412;-2512154782;-4,359492307;-782074825,8;-1,357181178;5,949494999;0,000309207;4047680;9,906831683
2020;Cyprus;Africa;32,32;-0,638422798;7,59;25008266159;-4,372474186;28035,98438;44803408563;42690696559;-2112712004;-8,448054698;-8617568064;-34,45887855;24,65914927;6,688543741;1237537;12,2
2020;Czechia;Africa;25,45;3,161295285;2,55;2,45975E+11;-5,502967961;22992,87938;1,76624E+11;1,82801E+11;6177560036;2,511463002;-6428184038;-2,613353215;16,74776449;6,688543741;10697858;12,8
2020;Denmark;Europe;28,08;0,420711974;5,64;3,55222E+11;-1,994607569;60915,4244;1,90221E+11;2,24247E+11;34025385370;9,578613463;8233499164;2,317843136;46,49118378;0,04823595;5831404;12,9
2020;Djibouti;Africa;41,6;1,777407838;28,048;3181071154;1,202022033;2917,996281;3587367488;3758902868;171535380;5,392377968;-158230011;-4,974111026;24,97268907;6,688543741;1090156;9,906831683
2020;Dominican Republic;Latin America and the Caribbean;43,05;3,781031799;6,13;78844655833;-6,720239373;7167,914932;24631500000;15394000000;-9237500000;-11,71607625;-2559600000;-3,24638363;27,96876461;4,880908096;10999664;8,38
2020;Ecuador;Latin America and the Caribbean;45,68;-0,338872393;6,11;99291124000;-7,787607091;5645,19929;22608408593;22485717993;-122690599,8;-0,123566533;-1094685901;-1,102501268;15,42838925;6,875739091;17588595;8,74
2020;Egypt;Africa;31,73;5,04493289;7,939;3,83818E+11;3,550164838;3571,556907;84042420000;40646263091;-43396156909;-11,30644598;-5525300000;-1,439563095;24,97268907;6,688543741;107465134;9,05
2020;El Salvador;Latin America and the Caribbean;39,2;-0,371590212;5,02;24930080000;-7,878383783;3961,726633;11859075372;6277498209;-5581577162;-22,388926;-271765463,4;-1,090110675;29,85366479;2,994021574;6292731;6,95
2020;Estonia;Europe;31,02;-0,444531098;6,96;31370395573;-0,551001258;23595,24368;23884535267;23493665477;-390869789,4;-1,24598298;-3314322297;-10,56512753;20,65110384;6,688543741;1329522;13,6
2020;Eswatini;Europe;54,6;8,340346517;25,08;3982236726;-1,55964259;3372,904639;2193054502;1911040253;-282014249,1;-7,081805239;-51096626,53;-1,283113738;24,97268907;6,688543741;1180655;9,906831683
